placement	placement_desc	version	version_label	size_bytes	reps	median_us	min_us	max_us	spread_pct	bandwidth_GBs
1node	intra-node	converse	old Converse	16	5	2.017023	1.888958	2.211889	17.10	0.0079
1node	intra-node	converse	old Converse	32	5	2.120983	2.009099	2.401349	19.52	0.0151
1node	intra-node	converse	old Converse	64	5	2.077346	1.987182	2.394315	20.49	0.0308
1node	intra-node	converse	old Converse	128	5	2.177980	2.041810	2.426551	18.84	0.0588
1node	intra-node	converse	old Converse	256	5	2.945469	2.911037	3.154557	8.37	0.0869
1node	intra-node	converse	old Converse	512	5	2.151660	2.100730	2.388489	13.70	0.2380
1node	intra-node	converse	old Converse	1024	5	2.302453	2.239832	2.520492	12.53	0.4447
1node	intra-node	converse	old Converse	2048	5	2.827979	2.583666	2.839514	9.90	0.7242
1node	intra-node	converse	old Converse	4096	5	4.195208	3.902770	4.402924	12.82	0.9764
1node	intra-node	converse	old Converse	8192	5	6.175743	5.791743	6.970673	20.36	1.3265
1node	intra-node	converse	old Converse	16384	5	6.628562	6.224564	8.231199	32.24	2.4717
1node	intra-node	converse	old Converse	32768	5	9.862983	9.305895	13.156446	41.38	3.3223
1node	intra-node	converse	old Converse	65536	5	16.134866	15.323731	22.847808	49.10	4.0618
1node	intra-node	converse	old Converse	131072	5	29.012973	27.412955	42.027597	53.31	4.5177
1node	intra-node	converse	old Converse	262144	5	53.863792	51.114084	80.371506	57.24	4.8668
1node	intra-node	converse	old Converse	524288	5	103.294840	98.297932	139.841001	42.26	5.0756
1node	intra-node	converse	old Converse	1048576	5	202.357031	192.872030	291.045329	50.90	5.1818
1node	intra-node	converse	old Converse	2097152	5	397.123234	375.841258	522.465800	39.01	5.2809
1node	intra-node	converse	old Converse	4194304	5	699.718257	689.048950	1008.020562	46.29	5.9943
1node	intra-node	converse	old Converse	8388608	5	1371.410425	1350.339648	2004.174769	48.42	6.1168
1node	intra-node	converse	old Converse	16777216	5	2745.314873	2707.073665	4113.834112	51.97	6.1112
